antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,rule_id
sausage,"whole milk, yogurt",0.06034886052262247,0.011160863463209249,0.0014702933903628951,0.024363233665559245,2.1829165589087607,0.0007967479979096469,1.0135320548158027,1
"whole milk, yogurt",sausage,0.011160863463209249,0.06034886052262247,0.0014702933903628951,0.1317365269461078,2.1829165589087607,0.0007967479979096469,1.082218898570497,2
"sausage, whole milk",yogurt,0.008955423377664907,0.08587850030074183,0.0014702933903628951,0.16417910447761194,1.9117602648237413,0.000701215061130829,1.0936810799973267,3
yogurt,"sausage, whole milk",0.08587850030074183,0.008955423377664907,0.0014702933903628951,0.017120622568093383,1.911760264823741,0.000701215061130829,1.0083074275215367,4
citrus fruit,specialty chocolate,0.05313105660629553,0.015972732740760543,0.001403461872619127,0.02641509433962264,1.6537617431120233,0.0005548137052125488,1.0107256814872034,5
specialty chocolate,citrus fruit,0.015972732740760543,0.05313105660629553,0.001403461872619127,0.08786610878661087,1.6537617431120233,0.0005548137052125488,1.0380810893169512,6
"sausage, yogurt",whole milk,0.005747510525964045,0.15792287642852368,0.0014702933903628951,0.2558139534883721,1.6198663504217148,0.0005626299957994361,1.1315411347991713,7
whole milk,"sausage, yogurt",0.15792287642852368,0.005747510525964045,0.0014702933903628951,0.009310198899703767,1.6198663504217146,0.0005626299957994361,1.0035961694263764,8
tropical fruit,flour,0.0677671589921807,0.009757401590590123,0.0010693042839002875,0.01577909270216963,1.6171408500175628,0.00040807289896020976,1.0061182312496408,9
flour,tropical fruit,0.009757401590590123,0.0677671589921807,0.0010693042839002875,0.10958904109589042,1.6171408500175626,0.00040807289896020976,1.0469691906703202,10
beverages,sausage,0.016574216400454454,0.06034886052262247,0.0015371249081066632,0.09274193548387098,1.5367636551995143,0.0005368898342838755,1.0357043670683983,11
sausage,beverages,0.06034886052262247,0.016574216400454454,0.0015371249081066632,0.02547065337763012,1.536763655199514,0.0005368898342838755,1.0091289574890792,12
sausage,"soda, whole milk",0.06034886052262247,0.011628684087415625,0.0010693042839002875,0.017718715393134,1.5237076921118624,0.00036752644984720253,1.0061998853089782,13
"soda, whole milk",sausage,0.011628684087415625,0.06034886052262247,0.0010693042839002875,0.09195402298850576,1.5237076921118622,0.00036752644984720253,1.0348056852472385,14
